natoms,volume,density,DFT_Energy
6.0,34.0288943259889,3.5165826505236635,-8.15943614
6.0,37.10639273731284,3.224927312402009,-8.097871356666667
14.0,106.65953532600628,2.6178560696663373,-8.09713289642857
10.0,76.60487108486622,2.603520674960411,-7.992787164000001
9.0,67.44404690452315,2.6614377004840657,-7.970165664444445
12.0,79.59019023407909,3.007039411548915,-7.924446785
12.0,82.73761638052584,2.892648462409455,-7.880156763333333
10.0,79.51678364840407,2.5081794876663004,-7.825701778
13.0,93.99914169835918,2.7582706681064284,-7.8161295576923076
10.0,90.5281159895254,2.203098600828087,-7.7843010370000005
6.0,43.2055658050288,2.7696760168188232,-7.774884615
13.0,97.34407299396302,2.663491134070828,-7.762722086153847
15.0,113.81769199251487,2.6284450446233225,-7.754349254666667
9.0,74.25387852472271,2.417356947154618,-7.737941494444446
7.0,60.4159426675195,2.3108082040329485,-7.735226092857142
18.0,121.69749476717205,2.949906724839717,-7.719974498333333
6.0,45.384381107827195,2.6367092925420033,-7.719833258333334
9.0,68.60055380527628,2.6165696798078586,-7.698184068888889
10.0,82.45864905836,2.418695527390597,-7.683425169
8.0,56.13179325459207,2.8424869986609247,-7.67757961
6.0,58.48982692528407,2.0459185074378556,-7.653210003333334
7.0,63.42694701619352,2.2011095053155345,-7.65160108
18.0,135.62515814422426,2.6469739325801873,-7.649056747222223
10.0,77.0854457500085,2.5872895166089664,-7.6280565440000005
10.0,97.41169803634097,2.0474169909010422,-7.606965914
9.0,65.76674540884191,2.7293144580753603,-7.595736981111112
7.0,61.33839133089654,2.276056690455885,-7.593073250000001
10.0,93.26543782583711,2.138438100130541,-7.5872763899999995
7.0,56.658814259628805,2.464041258095382,-7.586059555714286
13.0,89.34232881502567,2.9020407102949717,-7.580820036923077
7.0,59.76539359827526,2.3359614580454675,-7.577688518571429
14.0,151.53574435059832,1.8425970264478673,-7.539670553571428
11.0,90.39044991877935,2.427099349947582,-7.530930060909091
10.0,88.94517202067553,2.242306818247148,-7.528464662999999
7.0,56.35334672723555,2.4773977780988656,-7.518499452857143
7.0,58.971793122629975,2.3673971669841287,-7.513082577142858
12.0,94.76781294131037,2.525444361101472,-7.489603026666667
10.0,112.26714637844006,1.776498041553743,-7.488085879000001
9.0,65.74737254749785,2.7301186671032185,-7.467233712222223
8.0,82.58408910353937,1.932017344620234,-7.45597968375
8.0,73.35655304066754,2.175046208199657,-7.44457442125
15.0,152.90303812903915,1.9565572546421006,-7.443958726666667
19.0,161.87129410433036,2.340998735284111,-7.439917736842106
15.0,137.26176154373366,2.179511213783099,-7.361418853333333
20.0,165.69348354836072,2.407365231281594,-7.331046820999999
12.0,104.76435817817625,2.2844681432545353,-7.329875581666666
11.0,96.28002098900573,2.2786306025461993,-7.305314187272727
11.0,108.4700008062916,2.022555550922553,-7.280040259090909
16.0,154.28073194231328,2.068357992978142,-7.277432525625
10.0,94.00141357501424,2.1216953882610374,-7.252240500000001
11.0,103.1252428953399,2.1273802231136627,-7.244541252727273
10.0,103.76720832053334,1.922017262486773,-7.22471966
